[2025-11-25 12:11:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:11:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=11,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:11:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:11:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=11,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:11:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 12:11:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=11,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:12:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:12:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=12,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:12:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:12:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=12,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:12:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 12:12:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=12,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:13:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:13:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=13,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:13:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:13:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=13,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:13:24] [cron_eval.php] Expr='0 0 * * 6#3' Now=2025-11-25 12:13:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#3'] | Current[min=13,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
[2025-11-25 12:14:24] [cron_eval.php] Expr='0 0 * * 6#1,6#3' Now=2025-11-25 12:14:24 | Fields=[min:'0', hour:'0', dom:'*', mon:'*', dow:'6#1,6#3'] | Current[min=14,hour=12,dom=25,mon=11,dow=2] | Match[min=0,hour=0,dom=1,mon=1,dow=0] => FINAL=FALSE
